currentGua,yaoIndex,gender,yaoName,sentence,annotation,futureGua
乾,0,0,卦辞,元亨。利贞。,彖象,乾
乾,1,9,初九,潜龙勿用。,彖象,姤
乾,2,9,九二,见龙在田，利见大人。,彖象,同人
乾,3,9,九三,君子终日乾乾，夕惕若，厉，无咎。,彖象,履
乾,4,9,九四,或跃，在渊，无咎。,彖象,小畜
乾,5,9,九五,飞龙在天，利见大人。,彖象,大有
乾,6,9,上九,亢龙有悔。,彖象,夬
坤,0,0,卦辞,元亨。利牝马之贞。,彖象,坤
坤,1,6,初六,履霜，坚冰至。,彖象,复
坤,2,6,六二,直方，不习，无不利。,彖象,师
坤,3,6,六三,含章可贞，或从王事，无成有终。,彖象,谦
坤,4,6,六四,括囊，无咎，无誉。,彖象,豫
坤,5,6,六五,黄裳，元吉。,彖象,比
坤,6,6,上六,龙战于野，其血玄黄,彖象,剥
屯,0,0,卦辞,元亨，利贞；勿用有攸往，利建,彖象,屯
屯,1,9,初九,盘桓，利居贞，利建,彖象,比
屯,2,6,六二,屯如，遣如。,彖象,节
屯,3,6,六三,即鹿无虞，惟入于林,彖象,既济
屯,4,6,六四,乘马班如，求婚媾；,彖象,随
屯,5,9,九五,屯其膏。小，贞吉；,彖象,复
屯,6,6,上六,乘马班如，泣血涟如,彖象,益
蒙,0,0,卦辞,亨。匪我求童蒙，童蒙求我。,彖象,蒙
蒙,1,6,初六,发蒙，利用刑人，用说桎梏，以往吝。,彖象,损
蒙,2,9,九二,包蒙，吉。纳妇，吉。子克家。,彖象,剥
蒙,3,6,六三,勿用取女，见金夫，不有躬。无攸利。,彖象,蛊
蒙,4,6,六四,困蒙，吝。,彖象,未济
蒙,5,6,六五,童蒙，吉。,彖象,涣
蒙,6,9,上九,击蒙，不利为寇，利御寇。,彖象,师
需,0,0,卦辞,有孚，光亨，贞吉。利涉大川。,彖象,需
需,1,9,初九,需于郊。利用恒，无,彖象,井
需,2,9,九二,需于沙，小有言，终,彖象,既济
需,3,9,九三,需于泥，致宼至。,彖象,节
需,4,6,六四,需于血，出自穴。,彖象,夬
需,5,9,九五,需于酒食，贞吉。,彖象,泰
需,6,6,上六,入于穴，有不速之客,彖象,小畜
讼,0,0,卦辞,有孚窒，惕，中吉;终凶。,彖象,讼
讼,1,6,初六,不永所事，小有言，,彖象,履
讼,2,9,九二,不克讼，归而逋，其,彖象,否
讼,3,6,六三,食旧德，贞厉，终吉,彖象,姤
讼,4,9,九四,不克讼，复即命;渝，,彖象,涣
讼,5,9,九五,讼，元吉。,彖象,未济
讼,6,9,上九,或锡之鞶带，终朝三,彖象,困
师,0,0,卦辞,贞。丈人吉，无咎。,彖象,师
师,1,6,初六,师出以律，否臧凶。,彖象,临
师,2,9,九二,在师，中吉，无咎;王,彖象,坤
师,3,6,六三,师或舆尸，凶。,彖象,升
师,4,6,六四,师左次，无咎。,彖象,解
师,5,6,六五,田有禽，利执言，无,彖象,坎
师,6,6,上六,大君有命，开国承家,彖象,蒙
比,0,0,卦辞,吉。原筮，元永贞，无咎,彖象,比
比,1,6,初六,有孚比之，无咎,彖象,屯
比,2,6,六二,比之自内，贞吉。,彖象,坎
比,3,6,六三,比之匪人。,彖象,蹇
比,4,6,六四,外比之，贞吉。,彖象,萃
比,5,9,九五,显比;王用三驱，失前,彖象,坤
比,6,6,上六,比之无首，凶。,彖象,观
小畜,0,0,卦辞,亨。密云不雨，自我西郊。,彖象,小畜
小畜,1,9,初九,复自道，何其咎，,彖象,巽
小畜,2,9,九二,牵复，吉。,彖象,家人
小畜,3,9,九三,舆说辐，夫妻反目,彖象,中孚
小畜,4,6,六四,有孚，血去惕出，,彖象,乾
小畜,5,9,九五,有孚挛如，富以其,彖象,大畜
小畜,6,9,上九,既雨既处，尚德载,彖象,需
履,0,0,卦辞,履虎尾，不哇人，亨。,彖象,履
履,1,9,初九,素履，往，无咎。,彖象,讼
履,2,9,九二,履道坦坦，幽人贞吉,彖象,无妄
履,3,6,六三,眇能视，跛能履。,彖象,乾
履,4,9,九四,履虎尾，恝恝，终吉,彖象,中孚
履,5,9,九五,夬履，贞厉。,彖象,睽
履,6,9,上九,视履考祥，其旋元吉,彖象,兑
泰,0,0,卦辞,小往大来，吉，亨。,彖象,泰
泰,1,9,初九,拔茅茹，以其汇。征,彖象,升
泰,2,9,九二,包荒，用冯河,彖象,明夷
泰,3,9,九三,无平不陂，无往不复,彖象,临
泰,4,6,六四,翩翩不富，以其邻不,彖象,大壮
泰,5,6,六五,帝乙归妹，以祉元吉,彖象,需
泰,6,6,上六,城复于隍;勿用师,彖象,大畜
否,0,0,卦辞,否之匪人，不利，君子贞；大往,彖象,否
否,1,6,初六,拔茅茹，以其汇，贞,彖象,无妄
否,2,6,六二,包承，小人吉；大人,彖象,讼
否,3,6,六三,包羞。,彖象,遁
否,4,9,九四,有命，无咎，畴尚祉,彖象,观
否,5,9,九五,休否，大人吉；其亡,彖象,晋
否,6,9,上九,倾否；先否后喜。,彖象,萃
同人,0,0,卦辞,同人于野，亨，利涉大川，,彖象,同人
同人,1,9,初九,同人于门，无咎。,彖象,遁
同人,2,6,六二,同人于宗，吝。,彖象,乾
同人,3,9,九三,伏戎于莽，升其高,彖象,无妄
同人,4,9,九四,乘其墉，弗克攻，,彖象,家人
同人,5,9,九五,同人，先号眺，而,彖象,离
同人,6,9,上九,同人于郊，无悔。,彖象,革
大有,0,0,卦辞,元亨。,彖象,大有
大有,1,9,初九,无交害，匪咎；艰,彖象,鼎
大有,2,9,九二,大车以载，有攸往,彖象,离
大有,3,9,九三,公用亨于天子，小,彖象,睽
大有,4,9,九四,匪其彭，无咎。,彖象,大畜
大有,5,6,六五,厥孚交如，威如，,彖象,乾
大有,6,9,上九,自天佑之，吉无不,彖象,大壮
谦,0,0,卦辞,亨，君子有终。,彖象,谦
谦,1,6,初六,谦谦君子，用涉大川，吉。,彖象,明夷
谦,2,6,六二,鸣谦，贞吉。,彖象,升
谦,3,9,九三,劳谦君子，有终，吉。,彖象,坤
谦,4,6,六四,无不利，捴谦。,彖象,小过
谦,5,6,六五,不富以其邻，利用侵伐，无不利。,彖象,蹇
谦,6,6,上六,鸣谦，利用行师征邑国。,彖象,艮
豫,0,0,卦辞,利建侯行师。,彖象,豫
豫,1,6,初六,鸣豫，凶。,彖象,震
豫,2,6,六二,介于石，不终日，贞,彖象,解
豫,3,6,六三,盱豫悔；迟有悔。,彖象,小过
豫,4,9,九四,由豫，大有得；勿疑,彖象,坤
豫,5,6,六五,贞疾，恒不死。,彖象,萃
豫,6,6,上六,冥豫成，有渝无咎。,彖象,晋
随,0,0,卦辞,元，亨，利，贞，无咎。,彖象,随
随,1,9,初九,官有渝，贞吉。出门,彖象,萃
随,2,6,六二,系小子，失丈夫。,彖象,兑
随,3,6,六三,系丈夫，失小子。随,彖象,革
随,4,9,九四,随有获，贞凶；有孚,彖象,屯
随,5,9,九五,孚于嘉，吉。,彖象,震
随,6,6,上六,拘系之，乃从，维之,彖象,无妄
蛊,0,0,卦辞,元亨，利涉在川；先甲三日,彖象,蛊
蛊,1,6,初六,干父之蛊，有子，考,彖象,大畜
蛊,2,9,九二,干母之蛊，不可贞。,彖象,艮
蛊,3,9,九三,干父之蛊，小有悔，,彖象,蒙
蛊,4,6,六四,裕父之蛊，往见吝。,彖象,鼎
蛊,5,6,六五,干父之蛊，用誉。,彖象,巽
蛊,6,9,上九,不事王侯，高尚其事,彖象,升
临,0,0,卦辞,元，亨，利，贞。至于八月有凶,彖象,临
临,1,9,初九,咸临，贞吉。,彖象,师
临,2,9,九二,咸临，吉，无不利。,彖象,复
临,3,6,六三,甘临，无攸利；既忧,彖象,泰
临,4,6,六四,至临，无咎。,彖象,归妹
临,5,6,六五,知临，大君之宜，吉,彖象,节
临,6,6,上六,敦临，吉，无咎。,彖象,损
观,0,0,卦辞,盥而不荐，有孚顒,彖象,观
观,1,6,初六,童观，小人无咎，君,彖象,益
观,2,6,六二,窥观，利女贞。,彖象,涣
观,3,6,六三,观我生，进退。,彖象,渐
观,4,6,六四,观国之光，利用宾于,彖象,否
观,5,9,九五,观我生，君子无咎。,彖象,剥
观,6,9,上九,观其生，君子无咎。,彖象,比
噬嗑,0,0,卦辞,亨。利用狱。,彖象,噬嗑
噬嗑,1,9,初九,屦校灭趾，无咎。,彖象,晋
噬嗑,2,6,六二,噬肤灭鼻，无咎。,彖象,睽
噬嗑,3,6,六三,噬腊肉，遇毒；小,彖象,离
噬嗑,4,9,九四,噬干胏，得金矢；利,彖象,颐
噬嗑,5,6,六五,六五，噬干肉，得黄金；贞,彖象,无妄
噬嗑,6,9,上九,何校灭耳，凶。,彖象,震
贲,0,0,卦辞,亨，小利有攸往。,彖象,贲
贲,1,9,初九,贲其趾，舍车而徒。,彖象,艮
贲,2,6,六二,贲其须。,彖象,大畜
贲,3,9,九三,贲如，濡如，永贞吉,彖象,颐
贲,4,6,六四,贲如，皤如，白马翰,彖象,离
贲,5,6,六五,贲于丘园，束帛矣矣,彖象,家人
贲,6,9,上九,白贲，无咎。,彖象,明夷
剥,0,0,卦辞,不利有攸往。,彖象,剥
剥,1,6,初六,剥床以足，蔑贞，凶,彖象,颐
剥,2,6,六二,剥床以辨，蔑贞，凶。,彖象,蒙
剥,3,6,六三,剥，无咎。,彖象,艮
剥,4,6,六四,剥床以肤，凶。,彖象,晋
剥,5,6,六五,贯鱼，以宫人宠，无,彖象,观
剥,6,9,上九,硕果不食，君子得舆,彖象,坤
复,0,0,卦辞,亨。出入无疾，朋来无咎。,彖象,复
复,1,9,初九,不远复，无祗悔，元,彖象,坤
复,2,6,六二,休复，吉。,彖象,临
复,3,6,六三,频复，厉，无咎。,彖象,明夷
复,4,6,六四,中行独复。,彖象,震
复,5,6,六五,敦复，无悔。,彖象,屯
复,6,6,上六,迷复，凶，有灾眚。,彖象,颐
无妄,0,0,卦辞,元亨，利贞。其匪正有眚，,彖象,无妄
无妄,1,9,初九,无妄，往吉。,彖象,否
无妄,2,6,六二,不耕获，不菑畲，,彖象,履
无妄,3,6,六三,无妄之灾，或系之牛，行人之得,彖象,同人
无妄,4,9,九四,可贞，无咎。,彖象,益
无妄,5,9,九五,无妄之疾，勿药有喜,彖象,噬嗑
无妄,6,9,上九,无妄，行有眚，无,彖象,随
大畜,0,0,卦辞,利贞；不家食，吉，利涉大,彖象,大畜
大畜,1,9,初九,有厉，利已。,彖象,蛊
大畜,2,9,九二,舆说輹。,彖象,贲
大畜,3,9,九三,良马逐，利艰贞。,彖象,损
大畜,4,6,六四,童牛之牿，元吉。,彖象,大有
大畜,5,6,六五,豮豕之牙，吉。,彖象,小畜
大畜,6,9,上九,何天之衢，亨。,彖象,泰
颐,0,0,卦辞,贞吉；观颐，自求口实。,彖象,颐
颐,1,9,初九,舍尔灵龟，观我朵颐,彖象,剥
颐,2,6,六二,颠颐，拂经，于丘颐,彖象,损
颐,3,6,六三,拂颐，贞凶，十年勿,彖象,贲
颐,4,6,六四,颠颐，吉；虎视眈眈,彖象,噬嗑
颐,5,6,六五,拂经，居贞吉，不可,彖象,益
颐,6,9,上九,由颐；厉吉，利涉大,彖象,复
大过,0,0,卦辞,栋桡；利有攸往，亨。,彖象,大过
大过,1,6,初六,藉用白茅，无咎。,彖象,夬
大过,2,9,九二,枯杨生梯，老夫得,彖象,咸
大过,3,9,九三,栋桡，凶。,彖象,困
大过,4,9,九四,栋隆，吉；有它，,彖象,井
大过,5,9,九五,枯杨生华，老妇得,彖象,恒
大过,6,6,上六,过涉灭顶，凶，无,彖象,姤
坎,0,0,卦辞,有半，维心亨，行有尚。,彖象,坎
坎,1,6,初六,习坎，入于坎窖，凶,彖象,节
坎,2,9,九二,坎有险，求小得。,彖象,比
坎,3,6,六三,来之坎坎，险且枕，,彖象,井
坎,4,6,六四,樽酒簋贰用缶，纳约自牖，终无咎。,彖象,困
坎,5,9,九五,坎不盈，祗既平，无咎。,彖象,师
坎,6,6,上六,系用徽纆，窴于丛棘，三岁不得，凶。,彖象,涣
离,0,0,卦辞,利贞，亨；畜牝牛，吉。,彖象,离
离,1,9,初九,履错然，敬之，无咎,彖象,旅
离,2,6,六二,黄离，元吉。,彖象,大有
离,3,9,九三,日昃之离，不鼓缶而,彖象,噬嗑
离,4,9,九四,突如其来如，焚如，,彖象,贲
离,5,6,六五,出涕佗若，戚嗟若，,彖象,同人
离,6,9,上九,王用出征，有嘉折首,彖象,丰
咸,0,0,卦辞,亨，利贞；取女吉。,彖象,咸
咸,1,6,初六,咸其拇。,彖象,革
咸,2,6,六二,咸其腓，凶；居吉。,彖象,大过
咸,3,9,九三,咸其股，执其随，往,彖象,萃
咸,4,9,九四,贞吉，悔亡；憧憧往,彖象,蹇
咸,5,9,九五,咸其晦，无悔。,彖象,小过
咸,6,6,上六,咸其辅、颊、舌。,彖象,遁
恒,0,0,卦辞,亨，无咎，利贞，利有攸往。,彖象,恒
恒,1,6,初六,浚恒，贞凶，无攸利,彖象,大壮
恒,2,9,九二,悔亡。,彖象,小过
恒,3,9,九三,不恒其德，或承之羞,彖象,解
恒,4,9,九四,田无禽。,彖象,升
恒,5,6,六五,恒其德，贞；妇人吉,彖象,大过
恒,6,6,上六,振恒，凶。,彖象,鼎
遁,0,0,卦辞,亨，小利贞。,彖象,遁
遁,1,6,初六,遁尾；厉。勿用有攸,彖象,同人
遁,2,6,六二,执之用黄牛之革，莫,彖象,姤
遁,3,9,九三,系遁，有疾厉，畜臣,彖象,否
遁,4,9,九四,好遁，君子吉，小人,彖象,渐
遁,5,9,九五,嘉遁，贞吉。,彖象,旅
遁,6,9,上九,肥遁无不利。,彖象,咸
大壮,0,0,卦辞,利贞,彖象,大壮
大壮,1,9,初九,壮于趾，征凶，有,彖象,恒
大壮,2,9,九二,贞吉。,彖象,丰
大壮,3,9,九三,小人用壮，君子用,彖象,归妹
大壮,4,9,九四,贞吉，悔亡；藩决,彖象,泰
大壮,5,6,六五,丧羊于易，无悔。,彖象,夬
大壮,6,6,上六,羝羊触藩，不能退,彖象,大有
晋,0,0,卦辞,康侯用锡马蕃庶，昼日三接。,彖象,晋
晋,1,6,初六,晋如摧如，贞吉。,彖象,噬嗑
晋,2,6,六二,晋如愁如，贞吉；,彖象,未济
晋,3,6,六三,众允，悔亡。,彖象,旅
晋,4,9,九四,晋如鼫鼠，贞厉。,彖象,剥
晋,5,6,六五,悔亡，失得勿恤；往,彖象,否
晋,6,9,上九,晋其角，维用伐邑,彖象,豫
明夷,0,0,卦辞,利艰贞。,彖象,明夷
明夷,1,9,初九,明夷于飞，垂其翼,彖象,谦
明夷,2,6,六二,明夷，夷于左股,彖象,泰
明夷,3,9,九三,明夷于南狩,彖象,复
明夷,4,6,六四,入于左腹,彖象,丰
明夷,5,6,六五,箕子之明夷，利贞,彖象,既济
明夷,6,6,上六,不明，晦；初登于,彖象,贲
家人,0,0,卦辞,利女贞。,彖象,家人
家人,1,9,初九,闲有家，悔亡。,彖象,渐
家人,2,6,六二,无攸遂，在中馈，,彖象,小畜
家人,3,9,九三,家人嘀嘀，悔厉，,彖象,益
家人,4,6,六四,富家，大吉。,彖象,同人
家人,5,9,九五,王假有家，勿恤，,彖象,贲
家人,6,9,上九,有孚，威如，终吉,彖象,既济
睽,0,0,卦辞,小事吉。,彖象,睽
睽,1,9,初九,悔亡；丧马，勿逐自,彖象,未济
睽,2,9,九二,遇主于巷，无咎。,彖象,噬嗑
睽,3,6,六三,见舆曳，其牛掣；其,彖象,大有
睽,4,9,九四,睽孤；遇元夫，交孚,彖象,损
睽,5,6,六五,悔亡，厥宗噬肤，往,彖象,履
睽,6,9,上九,睽孤，见豕负涂，载,彖象,归妹
蹇,0,0,卦辞,利西南，不利东北；利见大人，,彖象,蹇
蹇,1,6,初六,往蹇，来誉。,彖象,既济
蹇,2,6,六二,王臣蹇蹇，匪躬之故,彖象,井
蹇,3,9,九三,往蹇，来反。,彖象,比
蹇,4,6,六四,往蹇，来连。,彖象,咸
蹇,5,9,九五,大蹇，朋来。,彖象,谦
蹇,6,6,上六,往蹇，来硕；吉；利,彖象,渐
解,0,0,卦辞,利西南；无所往，其来复吉；有,彖象,解
解,1,6,初六,无咎。,彖象,归妹
解,2,9,九二,田获三狐，得黄矢；,彖象,豫
解,3,6,六三,负且乘，致宼至；贞,彖象,恒
解,4,9,九四,解而拇，朋至斯孚。,彖象,师
解,5,6,六五,君子维有解，吉，有,彖象,困
解,6,6,上六,公用射隼于高墉之上,彖象,未济
损,0,0,卦辞,有孚，元吉，无咎，可贞，利有,彖象,损
损,1,9,初九,已事遄往，无咎；酌,彖象,蒙
损,2,9,九二,利贞，征凶；弗损放,彖象,颐
损,3,6,六三,三人行，则损一人；,彖象,大畜
损,4,6,六四,损其疾，使遄有喜。,彖象,睽
损,5,6,六五,或益之十朋之龟，弗,彖象,中孚
损,6,9,上九,弗损益之；无咎，贞,彖象,临
益,0,0,卦辞,利有攸往，利涉大川。,彖象,益
益,1,9,初九,利用为大作，元吉，,彖象,观
益,2,6,六二,或益之十朋之龟，弗,彖象,中孚
益,3,6,六三,益之用凶事，无咎；,彖象,家人
益,4,6,六四,中行告公从，利用为,彖象,无妄
益,5,9,九五,有孚惠心，勿问元吉,彖象,颐
益,6,9,上九,莫益之，或击之；立,彖象,屯
夬,0,0,卦辞,扬于王庭，孚号有厉；告自邑,彖象,夬
夬,1,9,初九,壮于前趾，往不胜为,彖象,大过
夬,2,9,九二,锡号，旲夜有戎，勿,彖象,革
夬,3,9,九三,壮于頑，有凶；君子,彖象,兑
夬,4,9,九四,臀无肤，其行次且；,彖象,需
夬,5,9,九五,苋陆夬夬，中行无咎,彖象,大壮
夬,6,6,上六,无号，终有凶。,彖象,乾
姤,0,0,卦辞,女壮，勿用取女。,彖象,姤
姤,1,6,初六,系于金柅，贞吉；,彖象,乾
姤,2,9,九二,包有鱼，无咎；不利,彖象,遁
姤,3,9,九三,臀无肤，其行次且；,彖象,讼
姤,4,9,九四,包无鱼，起凶。,彖象,巽
姤,5,9,九五,以杞包瓜，含章，有,彖象,鼎
姤,6,9,上九,姤其角；吝，无咎。,彖象,大过
萃,0,0,卦辞,亨；王假有庙，利见大人,彖象,萃
萃,1,6,初六,有孚不终，乃乱乃萃,彖象,随
萃,2,6,六二,引吉，无咎,彖象,困
萃,3,6,六三,萃如嗟如，无攸利,彖象,咸
萃,4,9,九四,大吉，无咎。,彖象,比
萃,5,9,九五,萃有位，无咎,彖象,豫
萃,6,6,上六,赍咨涕洟，无咎。,彖象,否
升,0,0,卦辞,元亨，用见大人，勿恤，南征吉,彖象,升
升,1,6,初六,允升，大吉。,彖象,泰
升,2,9,九二,孚乃利用檜，无咎。,彖象,谦
升,3,9,九三,升虚邑。,彖象,师
升,4,6,六四,王用亨于岐山，吉，,彖象,恒
升,5,6,六五,贞吉，升阶。,彖象,井
升,6,6,上六,冥升，利于不息之贞,彖象,蛊
困,0,0,卦辞,亨；贞，大人吉，无咎；有言不,彖象,困
困,1,6,初六,臀困于株木，入于幽,彖象,兑
困,2,9,九二,困于酒食，朱绂方来,彖象,萃
困,3,6,六三,困于石，据于蒺藜；,彖象,大过
困,4,9,九四,来徐徐，困于金车，,彖象,坎
困,5,9,九五,劓刖，困于赤绂；乃,彖象,解
困,6,6,上六,困于葛藟，于臲卼，,彖象,讼
井,0,0,卦辞,改邑不改井，无丧无得，往来井,彖象,井
井,1,6,初六,井泥不食，旧井无禽,彖象,需
井,2,9,九二,井谷射鲋，瓮敝漏。,彖象,蹇
井,3,9,九三,井渫不食，为我心恻,彖象,坎
井,4,6,六四,井瓷，无咎。,彖象,大过
井,5,9,九五,井洌，寒泉食。,彖象,升
井,6,6,上六,井收，勿幕；有孚，,彖象,巽
革,0,0,卦辞,己日乃孚，元亨，利贞，悔亡。,彖象,革
革,1,9,初九,巩用黄牛之革。,彖象,咸
革,2,6,六二,己日乃革之，征吉，,彖象,夬
革,3,9,九三,征凶，贞厉；革言三,彖象,随
革,4,9,九四,悔亡，有孚改命，吉,彖象,既济
革,5,9,九五,大人虎变，未占有孚,彖象,丰
革,6,6,上六,君子豹变，小人革面,彖象,同人
鼎,0,0,卦辞,元吉，亨。,彖象,鼎
鼎,1,6,初六,鼎颠趾，利出否；得,彖象,大有
鼎,2,9,九二,鼎有实；我仇有疾，,彖象,旅
鼎,3,9,九三,鼎耳革，其行塞，雉,彖象,未济
鼎,4,9,九四,鼎折足，覆公錬，其,彖象,蛊
鼎,5,6,六五,鼎黄耳金铉，利贞。,彖象,姤
鼎,6,9,上九,鼎玉铉，大吉，无不,彖象,恒
震,0,0,卦辞,號虢，笑言哑哑；震,彖象,震
震,1,9,初九,震来虩虩，后笑言哑,彖象,豫
震,2,6,六二,震来厉，亿丧贝，跻,彖象,归妹
震,3,6,六三,震苏苏，震行无眚。,彖象,丰
震,4,9,九四,震遂泥。,彖象,复
震,5,6,六五,震往来，厉；亿无丧,彖象,随
震,6,6,上六,震索索，视矍矍，征,彖象,噬嗑
艮,0,0,卦辞,艮其背，不获其身；行其庭，不,彖象,艮
艮,1,6,初六,艮其址，无咎，利永,彖象,贲
艮,2,6,六二,艮其腓，不拯其随，,彖象,蛊
艮,3,9,九三,艮其限，列其夤，厉,彖象,剥
艮,4,6,六四,艮其身，无咎。,彖象,旅
艮,5,6,六五,艮其辅，言有序，悔,彖象,渐
艮,6,9,上九,敦艮，吉。,彖象,谦
渐,0,0,卦辞,女归吉，利贞。,彖象,渐
渐,1,6,初六,鸿渐于干；小子厉，,彖象,家人
渐,2,6,六二,鸿渐于磐，饮食桁桁,彖象,巽
渐,3,9,九三,鸿渐于陆，夫征不复,彖象,观
渐,4,6,六四,鸿渐于木，或得其桷,彖象,遁
渐,5,9,九五,鸿渐于陵，妇三岁不,彖象,艮
渐,6,9,上九,鸿渐于陆，其羽可用,彖象,蹇
归妹,0,0,卦辞,征凶，无攸利。,彖象,归妹
归妹,1,9,初九,归妹以娣，跛能履,彖象,解
归妹,2,9,九二,眇能视，利幽人之,彖象,震
归妹,3,6,六三,归妹以须，反归以,彖象,大壮
归妹,4,9,九四,归妹愆期，迟归有,彖象,临
归妹,5,6,六五,帝乙归妹，其君之,彖象,兑
归妹,6,6,上六,女承筐，无实，士,彖象,睽
丰,0,0,卦辞,亨，王假之；勿忧，宜日中。,彖象,丰
丰,1,9,初九,遇其配主，虽旬无咎,彖象,小过
丰,2,6,六二,丰其蔀，日中见斗，,彖象,大壮
丰,3,9,九三,丰其沛，日中见昧，,彖象,震
丰,4,9,九四,丰其蔀，日中见斗；,彖象,明夷
丰,5,6,六五,来章，有庆誉，吉。,彖象,革
丰,6,6,上六,车其屋，蔀其家，窥,彖象,离
旅,0,0,卦辞,小亨，旅贞吉。,彖象,旅
旅,1,6,初六,旅琐琐，斯其所取灾。,彖象,离
旅,2,6,六二,旅即次，怀其资，得童仆，贞。,彖象,鼎
旅,3,9,九三,旅焚其次，丧其童仆，贞厉。,彖象,晋
旅,4,9,九四,旅于处，得其资斧，我心不快。,彖象,艮
旅,5,6,六五,射雉，一矢亡，终以誉命。,彖象,遁
旅,6,9,上九,鸟焚其巢，旅人先笑后号咷。丧牛于易，凶。,彖象,小过
巽,0,0,卦辞,小亨。利有攸往。利见大人。,彖象,巽
巽,1,6,初六,进退，利武人之贞。,彖象,小畜
巽,2,9,九二,巽在床下，用史巫纷若，吉，无咎。,彖象,渐
巽,3,9,九三,频巽，吝。,彖象,涣
巽,4,6,六四,悔亡，田获三品。,彖象,姤
巽,5,9,九五,贞吉，悔亡，无不利，无初有终。先庚三日，后庚三日，吉。,彖象,蛊
巽,6,9,上九,巽在床下，丧其资斧，贞凶。,彖象,井
兑,0,0,卦辞,亨。利贞。,彖象,兑
兑,1,9,初九,和兑，吉。,彖象,困
兑,2,9,九二,孚兑，吉，悔亡。,彖象,随
兑,3,6,六三,来兑，凶。,彖象,夬
兑,4,9,九四,商兑，未宁，介疾有,彖象,节
兑,5,9,九五,孚于剥，有厉。,彖象,归妹
兑,6,6,上六,引兑。,彖象,履
涣,0,0,卦辞,亨，王假有庙，利涉大川，利贞,彖象,涣
涣,1,6,初六,用拯马壮，吉。,彖象,中孚
涣,2,9,九二,涣奔其机，悔亡。,彖象,观
涣,3,6,六三,涣其躬，无悔。,彖象,巽
涣,4,6,六四,涣其群，元吉；涣有,彖象,讼
涣,5,9,九五,，涣汗其大号，涣王,彖象,蒙
涣,6,9,上九,涣其血，去逖出，无,彖象,坎
节,0,0,卦辞,亨，苦节不可，贞。,彖象,节
节,1,9,初九,不出户庭，无咎。,彖象,坎
节,2,9,九二,不出门庭，凶。,彖象,屯
节,3,6,六三,不节若，则嗟若，无,彖象,需
节,4,6,六四,安节，亨。,彖象,兑
节,5,9,九五,甘节，吉，往有尚。,彖象,临
节,6,6,上六,苦节；贞凶，悔亡。,彖象,中孚
中孚,0,0,卦辞,虞吉，有它不燕。,彖象,中孚
中孚,1,9,初九,鸣鹤在阴，其子和,彖象,涣
中孚,2,9,九二,得敌，或鼓或罢，,彖象,益
中孚,3,6,六三,月几望，马匹亡，,彖象,小畜
中孚,4,6,六四,有孚挛如，无咎。,彖象,履
中孚,5,9,九五,翰音登于天，贞凶,彖象,损
中孚,6,9,上九,忠信为本，厄难消除,彖象,节
小过,0,0,卦辞,亨，利贞；可小事，不可大,彖象,小过
小过,1,6,初六,飞鸟以凶。,彖象,丰
小过,2,6,六二,弗过防之，从或戕之，凶,彖象,恒
小过,3,9,九三,无咎，弗过遇之,彖象,豫
小过,4,9,九四,密云不雨,彖象,谦
小过,5,6,六五,弗遇过之,彖象,咸
小过,6,6,上六,过其祖，遇其妣,彖象,旅
既济,0,0,卦辞,亨小，利贞；初吉终乱。,彖象,既济
既济,1,9,初九,曳其轮，濡其尾，,彖象,蹇
既济,2,6,六二,妇丧其髴，勿逐，,彖象,需
既济,3,9,九三,九三，高宗伐鬼方，三年,彖象,屯
既济,4,6,六四,"繻有衣袽,终日戒。",彖象,革
既济,5,9,九五,东邻杀牛，不如西,彖象,明夷
既济,6,6,上六,濡其首，厉。,彖象,家人
未济,0,0,卦辞,亨；小狐汔济，濡其尾，无,彖象,未济
未济,1,6,初六,濡其尾，吝。,彖象,睽
未济,2,9,九二,曳其轮，贞吉。,彖象,晋
未济,3,6,六三,未济，征凶，利涉,彖象,鼎
未济,4,9,九四,贞吉，悔亡；震用,彖象,蒙
未济,5,6,六五,贞吉，无悔；君子,彖象,讼
未济,6,9,上九,有孚于饮酒，无咎,彖象,解
乾,ALL,9,用九,见群龙无首，吉。,彖象,坤
坤,ALL,6,用六,利，永贞。,彖象,乾
